latency,shares
1,29.68
1,29.87
1,30.43
1,30.1
1,29.97
1,30.15
1,30.28
1,30.23
1,29.78
1,30.01
1,29.92
1,30.28
1,30.22
1,29.91
1,29.89
1,30.08
1,29.76
1,30.2
1,29.98
1,30.09
1,29.86
1,30.03
1,30.01
1,29.58
1,30.06
1,29.94
1,30
1,29.97
1,30.14
1,30.17
1,29.93
1,29.86
1,29.94
1,30.12
1,29.88
1,30.15
1,30.09
1,30.13
1,29.77
1,30.05
1,30.22
1,29.75
1,29.92
1,30.12
1,29.98
1,30.12
1,30.13
1,29.96
1,29.8
1,29.72
1,30.17
1,29.86
1,29.91
1,30.01
1,29.88
1,30.08
1,29.81
1,29.99
1,30.09
1,30
1,30.19
1,29.51
1,30.09
1,30.04
1,30.09
1,30.13
1,30.07
1,30.12
1,29.75
1,29.8
1,30.1
1,29.87
1,30.37
1,29.71
1,30.13
1,30.2
1,29.83
1,30.13
1,30.12
1,30.02
1,30.15
1,30.36
1,29.7
1,30.06
1,29.8
1,30.1
1,30.13
1,30.42
1,30.09
1,30.26
1,30.21
1,30.12
1,30.08
1,30.2
1,29.6
1,29.85
1,30.2
1,30.21
1,29.84
1,29.81
1,30.04
1,29.77
1,29.68
1,30.05
1,29.77
1,30.14
1,30
1,30.15
1,29.86
1,29.97
1,30.29
1,30.2
1,30.32
1,29.5
1,29.97
1,29.92
1,29.87
1,30.01
1,29.81
1,30.09
1,29.9
1,29.83
1,29.7
1,29.91
1,29.98
1,30.3
1,29.82
1,30.08
1,30.09
1,30.21
1,30.11
1,30.1
1,29.95
1,29.92
1,29.81
1,29.91
1,29.91
1,30.12
1,30.21
1,30.08
1,29.95
1,30.14
1,29.69
1,30.17
1,30.41
1,29.85
1,29.74
1,29.64
1,29.43
1,29.76
1,30.41
1,30.09
1,30.37
1,29.99
1,29.85
1,30.03
1,30.13
1,30.28
1,29.89
1,29.54
1,30.61
1,29.7
1,30.21
1,30.31
1,30.04
1,30.2
1,30
1,30.16
1,30.04
1,29.93
1,29.73
1,29.49
1,29.92
1,29.76
1,30.24
1,29.99
1,29.81
1,30.25
1,30.3
1,30.2
1,29.66
1,30.3
1,30.4
1,30.19
1,30.31
1,30.28
1,30.14
1,29.79
1,30.1
1,30.28
1,29.68
1,29.84
1,29.75
1,30.08
1,29.58
1,30.1
1,29.81
1,29.78
1,29.41
1,29.92
1,30.19
1,30.16
1,30.11
1,29.81
1,30.07
1,29.95
1,29.85
1,30.31
1,29.92
1,29.95
1,30.37
1,29.92
1,30
1,29.65
1,29.81
1,30
1,30.04
1,29.88
1,30.04
1,30.24
1,30.21
1,29.75
1,30.11
1,29.96
1,29.9
1,29.97
1,30.23
1,29.95
1,30.05
1,29.96
1,29.91
1,29.75
1,29.6
1,30.27
1,30.03
1,29.93
1,29.78
1,29.71
1,30.24
1,29.87
1,30.18
1,30.22
1,29.87
1,29.73
1,29.92
1,30.03
1,29.82
1,30.09
1,29.85
1,30.16
1,29.98
1,30.05
1,29.92
1,29.63
1,30.21
1,29.95
1,30.13
1,29.83
1,30.37
1,30.14
1,30.25
1,30.22
1,29.87
1,29.77
1,29.74
1,29.69
1,30.09
1,30.45
1,30.34
1,29.77
1,30.52
1,30.21
1,29.73
1,30.06
1,30.13
1,30.13
1,30.63
1,30.16
1,29.7
1,30
1,30.13
1,30.48
1,30.17
1,29.97
1,30.08
1,30.13
1,29.73
1,29.88
1,30.03
1,29.88
1,30.52
1,30.15
1,29.62
1,30.35
1,30.09
1,30.48
1,29.73
1,29.88
1,30.03
1,29.85
1,29.96
1,29.93
1,30.16
1,30.2
1,29.89
1,29.79
1,30.14
1,30.24
1,30.22
1,30.31
1,29.78
1,30.11
1,29.93
1,30.34
1,30.1
1,30.09
1,29.69
1,30.15
1,29.96
1,29.99
1,30.03
1,29.95
1,29.98
1,29.55
1,30.05
1,30.09
1,29.77
1,30.14
1,29.88
1,29.91
1,29.93
1,29.98
1,29.76
1,29.9
1,30.01
1,30.16
1,29.74
1,29.69
1,30.37
1,29.92
1,29.77
1,29.94
1,29.97
1,29.55
1,30.16
1,30.21
1,30.25
1,29.61
1,30.06
1,30.09
1,30.12
1,30
1,29.94
1,29.72
1,29.86
1,30.01
1,29.98
1,30.1
1,29.62
1,29.99
1,29.84
1,29.56
1,30.01
1,29.76
1,29.89
1,30.11
1,29.94
1,29.77
1,29.91
1,30.24
1,29.79
1,30.07
1,29.98
1,29.94
1,30.19
1,29.76
1,30.06
1,30.29
1,30
1,29.83
1,30.24
1,29.86
1,29.79
1,30.42
1,30
1,30.11
1,29.86
1,29.98
1,29.75
1,30.07
1,30.01
1,29.79
1,30.15
1,30.17
1,29.8
1,30.01
1,30.19
1,29.76
1,29.9
1,29.67
1,30.35
1,29.84
1,29.99
1,30.33
1,30.39
1,30.6
1,29.89
1,29.86
1,30.19
1,29.93
1,29.94
1,29.8
1,30.46
1,29.94
1,29.87
1,30.33
1,29.4
1,29.69
1,30.48
1,29.77
1,30.07
1,30.22
1,30.36
1,30.01
1,30.15
1,30.1
1,29.58
1,29.95
1,29.82
1,29.91
1,30.23
1,29.99
1,30.13
1,30.06
1,29.87
1,29.75
1,30.1
1,29.8
1,29.92
1,30.19
1,29.81
1,29.92
1,30.13
