latency,shares
1,39.63
1,39.99
1,40.37
1,40.26
1,39.84
1,40.19
1,40.2
1,40.28
1,39.97
1,40.18
1,39.88
1,40.42
1,40.29
1,39.98
1,40.01
1,39.96
1,39.88
1,39.99
1,39.81
1,40.06
1,40
1,40.21
1,39.94
1,39.76
1,40.13
1,40.05
1,39.97
1,39.67
1,39.96
1,40.21
1,40.09
1,40.02
1,39.89
1,40.08
1,40.12
1,39.93
1,39.97
1,40.28
1,39.64
1,40.08
1,40.33
1,39.82
1,39.83
1,39.99
1,40.06
1,40.11
1,40.27
1,39.83
1,39.77
1,39.96
1,40.35
1,39.89
1,39.94
1,39.89
1,40.21
1,40.05
1,39.9
1,40.03
1,40.26
1,40.26
1,40.26
1,39.65
1,40
1,40.05
1,40.19
1,40.01
1,40.02
1,39.79
1,39.68
1,39.76
1,40.05
1,39.83
1,40.37
1,39.86
1,39.99
1,40.01
1,39.71
1,40.01
1,40.18
1,40.17
1,40.12
1,40.23
1,39.78
1,40.04
1,39.79
1,40.12
1,39.97
1,40.34
1,40.07
1,40.22
1,40.36
1,40.16
1,40.1
1,40.39
1,39.67
1,39.86
1,40.21
1,40.35
1,39.62
1,39.83
1,40.07
1,39.9
1,39.88
1,40.2
1,40.01
1,40.08
1,40.1
1,40.03
1,39.72
1,39.95
1,40.18
1,40.05
1,40.18
1,39.69
1,39.86
1,39.93
1,39.7
1,40.16
1,39.88
1,40.29
1,39.97
1,40
1,39.64
1,39.96
1,39.73
1,40.28
1,39.59
1,40.03
1,39.76
1,40.35
1,40.03
1,40.1
1,39.86
1,39.83
1,39.79
1,40.07
1,39.95
1,40.21
1,40.21
1,40.09
1,39.99
1,40.22
1,39.73
1,40.32
1,40.56
1,40.18
1,39.88
1,39.65
1,39.56
1,39.93
1,40.29
1,40.04
1,40.6
1,39.9
1,39.9
1,40.03
1,40.2
1,40.28
1,40.12
1,39.68
1,40.33
1,39.75
1,40.23
1,40.19
1,40.19
1,40.18
1,39.89
1,40.27
1,40.06
1,39.78
1,39.79
1,39.71
1,40.01
1,39.59
1,40.1
1,40.04
1,40.02
1,40.24
1,40.07
1,40.19
1,39.69
1,40.31
1,40.54
1,40.03
1,40.13
1,40.35
1,40.06
1,39.72
1,40.19
1,40.11
1,39.61
1,39.96
1,39.86
1,40.1
1,39.71
1,40.46
1,39.75
1,40.01
1,39.68
1,39.77
1,40.13
1,40.16
1,39.97
1,39.83
1,39.84
1,39.8
1,39.59
1,40.33
1,39.97
1,40.05
1,40.32
1,40.13
1,40.03
1,39.76
1,39.81
1,40.31
1,39.96
1,39.83
1,39.95
1,40
1,40.29
1,39.78
1,39.95
1,40.12
1,39.83
1,40.08
1,40.3
1,39.91
1,39.9
1,40.05
1,40.18
1,39.82
1,39.74
1,40.17
1,40
1,40.07
1,39.48
1,39.9
1,40.26
1,40.15
1,40.11
1,40.25
1,40.11
1,39.63
1,40.18
1,39.77
1,39.84
1,40.13
1,39.72
1,40.23
1,39.92
1,40.21
1,39.8
1,39.81
1,40.36
1,39.82
1,40.27
1,39.8
1,40.72
1,40.11
1,40.29
1,40.24
1,40
1,39.67
1,39.74
1,39.93
1,40.21
1,40.24
1,40.29
1,39.67
1,40.46
1,40.22
1,40.11
1,40.07
1,40.22
1,40.05
1,40.47
1,40.06
1,39.88
1,40.03
1,40.24
1,40.25
1,40.12
1,40.07
1,40.17
1,40.18
1,39.7
1,39.9
1,40.18
1,39.97
1,40.56
1,40.22
1,39.74
1,40.43
1,40.01
1,40.48
1,39.8
1,39.75
1,40.2
1,40.07
1,39.88
1,40.01
1,40.06
1,40.26
1,39.91
1,40.02
1,40.37
1,40.24
1,40.2
1,40.31
1,39.77
1,40.15
1,39.89
1,40.44
1,40.21
1,40.31
1,39.72
1,40.32
1,40.04
1,39.99
1,40.02
1,40.01
1,40
1,39.58
1,40.02
1,40.27
1,39.92
1,40.21
1,40.05
1,39.99
1,39.94
1,40.23
1,39.74
1,40.11
1,39.89
1,40.22
1,39.72
1,39.81
1,40.02
1,40.16
1,39.93
1,39.75
1,40.16
1,39.74
1,40.23
1,40.28
1,40.22
1,40.09
1,40
1,40.19
1,40.14
1,39.93
1,39.84
1,39.51
1,40.04
1,39.85
1,39.87
1,40.15
1,39.71
1,40.08
1,39.84
1,39.76
1,40.09
1,39.81
1,39.93
1,40.28
1,39.62
1,39.83
1,40.02
1,40.05
1,39.82
1,40.03
1,39.91
1,39.53
1,40.23
1,39.93
1,40.15
1,40.37
1,39.79
1,39.6
1,40.2
1,39.86
1,39.65
1,40.55
1,40.16
1,40.19
1,39.75
1,39.87
1,39.86
1,40
1,40.15
1,39.84
1,40.17
1,40.01
1,40.17
1,40.06
1,40.25
1,39.72
1,40.09
1,39.47
1,40.37
1,39.84
1,40.22
1,40.29
1,40.29
1,40.45
1,39.91
1,39.9
1,40.21
1,40.04
1,40.02
1,39.74
1,40.43
1,39.99
1,39.74
1,40.3
1,39.52
1,39.88
1,40.46
1,39.8
1,39.96
1,40.27
1,40.34
1,39.9
1,40.4
1,40.23
1,39.71
1,40.02
1,39.89
1,40.15
1,40.06
1,40.21
1,40.14
1,40.3
1,40.01
1,39.93
1,39.99
1,39.69
1,39.97
1,40.15
1,40.09
1,39.94
1,40.15
1,40.12
1,40.24
1,39.95
1,39.92
1,39.79
1,40.49
1,40.14
1,40.08
1,39.69
1,40.04
1,39.84
1,39.97
1,40.03
1,40
1,39.9
1,40.08
1,40.11
1,39.64
1,40.22
1,39.77
1,39.97
1,40.12
1,40.53
1,40.25
1,39.48
1,39.99
1,39.92
1,39.88
1,39.99
1,40.35
1,39.83
1,40.14
1,40.34
1,40
1,40.47
1,40.18
1,39.87
1,40.07
1,40.35
1,40
1,40.16
1,40.2
1,39.88
1,39.78
1,39.99
1,40.14
1,39.94
1,39.64
1,40.08
1,40.01
1,40.08
1,40.19
1,40.4
1,40.01
1,39.99
1,40
1,40.16
1,40.28
1,40.01
1,40.12
1,40.27
1,40.18
1,39.99
1,40.36
1,40.58
1,40.3
1,39.99
1,40.3
1,39.84
1,40.24
1,40.11
1,40.4
1,39.94
1,39.82
1,40.38
1,39.92
1,40
1,39.7
1,40.17
1,40.25
1,40.29
1,40.23
1,40.12
1,39.78
1,40.24
1,40.11
1,40.04
1,40.17
1,39.62
1,40.11
1,39.5
1,40.25
1,39.81
1,39.93
1,39.81
1,39.72
1,39.95
1,40.17
1,39.99
1,40.34
1,39.84
1,39.75
1,40.26
1,40.1
1,40.09
1,39.79
1,40.14
1,39.75
1,40.15
1,40.32
1,39.91
1,40.31
1,40.31
1,39.96
1,39.9
1,39.71
1,40.08
1,40.3
1,39.77
1,40.38
1,39.66
1,40.02
1,39.58
1,40.53
1,40.09
1,39.85
1,39.54
1,39.61
1,39.88
1,39.98
1,39.97
1,40.27
1,39.98
1,40.11
1,39.82
1,40.09
1,39.98
1,39.9
1,39.71
1,39.84
1,40.03
1,39.95
1,40.14
1,39.88
1,39.77
1,40.25
1,40.26
1,39.84
1,40.33
1,40.19
1,39.59
1,39.97
1,39.93
1,40.08
1,40.36
1,39.84
1,40.03
1,40.03
1,40.41
1,39.98
1,39.94
1,39.98
1,39.93
1,40.33
1,39.99
1,39.54
1,39.88
1,40.21
1,40
1,40.06
1,40.18
1,40.16
1,39.96
1,40.19
1,39.95
1,40.33
1,40.11
1,39.96
1,40.16
1,39.69
1,39.77
1,39.71
1,39.85
1,40.04
1,39.83
1,39.96
1,39.65
1,40.23
1,40.37
1,39.68
1,40.16
1,39.98
1,39.76
1,40.21
1,40.15
1,40.01
1,39.88
1,40.1
1,39.98
1,40.36
1,39.93
1,40.03
1,40.05
1,40.2
1,40.03
1,40
1,39.97
1,40.16
1,40.56
1,40.25
1,40.11
1,40.04
1,39.86
1,40.1
1,39.94
1,40.08
1,40.19
1,40.04
1,40.31
1,39.69
1,39.72
1,40.14
1,40.17
1,40.09
1,39.96
1,39.94
1,40.14
1,39.86
1,39.93
1,40.22
1,39.98
1,39.68
1,39.96
1,40.14
1,40.24
1,40.22
1,40.33
1,39.58
1,39.92
1,40.08
1,39.98
1,39.9
1,39.9
1,40.33
1,39.64
1,39.84
1,40
1,40.21
1,40.2
1,40.28
1,40.52
1,40.06
1,40.17
1,40.14
1,40.31
1,40.3
1,39.72
1,39.98
1,40
1,39.68
1,40.02
1,40.28
1,40.06
1,40.4
1,40.02
1,40.22
1,39.7
1,39.92
1,40.33
1,39.93
1,40.16
1,39.38
1,40.03
1,39.51
1,39.68
1,39.97
1,40.19
1,40
1,40.03
1,40.23
1,40.08
1,39.98
1,39.89
1,39.74
1,40.21
1,40.08
1,40.18
1,40.33
1,39.45
1,39.92
1,40.07
1,40.08
1,39.78
1,39.86
1,40.25
1,40.22
1,39.66
1,40.02
1,40.1
1,39.82
1,40.17
1,40.07
1,40.23
1,40.68
1,39.98
1,39.73
1,39.65
1,40.04
1,39.89
1,39.92
1,40.47
1,40.03
1,39.94
1,39.93
1,40.38
1,40
1,40.13
1,40.54
1,39.78
1,40.41
1,40.52
1,39.92
1,39.96
1,40.44
1,40.21
1,39.94
1,39.95
1,39.95
1,39.9
1,40.18
1,39.89
1,40.11
1,40.22
1,40.63
1,40.78
1,40.06
1,40.02
1,40.27
1,39.87
1,39.77
1,39.7
1,40.48
1,39.85
1,40.02
1,40.49
1,39.85
1,39.9
1,40.28
1,39.67
1,39.87
1,39.63
1,39.96
1,40.3
1,39.89
1,40.34
1,40.32
1,39.97
1,39.9
1,40.06
1,40.18
1,39.93
1,39.83
1,40
1,40.53
1,40.19
1,40.02
1,39.96
1,40.12
1,39.9
1,40.42
1,39.91
1,39.74
1,40.22
1,40.34
1,39.83
1,39.87
1,39.76
1,40.29
1,39.96
1,39.79
1,40.07
1,40.4
1,39.78
1,39.81
1,39.82
1,40.02
1,39.97
1,40.08
1,39.82
1,40.15
1,39.9
1,39.96
1,39.84
1,39.91
1,39.8
1,39.78
1,40.39
1,40
1,40.09
1,39.89
1,39.36
1,39.55
1,40.07
1,39.97
1,39.63
1,40.39
1,40.11
1,40.02
1,40.08
1,40.09
1,39.88
1,40.45
1,39.6
1,39.73
1,40.16
1,39.89
1,40.32
1,39.93
1,39.83
1,40.07
1,39.99
1,39.94
1,40.38
1,39.99
1,40.5
1,39.89
1,40.05
1,39.87
1,39.95
1,39.56
1,40.17
1,39.94
1,39.66
1,39.89
1,40.32
1,40.18
1,40.07
1,40.46
1,40.34
1,39.78
1,40.08
1,40.47
1,39.7
1,40.26
1,40.02
1,40.1
1,40.29
1,40.04
1,39.89
1,40.17
1,40.09
1,39.84
1,39.99
1,39.91
1,40.43
1,39.81
1,40.01
1,40.04
1,39.96
1,39.8
1,40.33
1,39.83
1,40.34
1,40.04
1,39.81
1,39.89
1,39.67
1,39.85
1,39.92
1,39.91
1,40.45
1,39.73
1,39.86
1,39.88
1,40.15
1,39.58
1,39.96
1,39.77
1,40.23
1,40.25
1,40.04
1,39.89
1,39.64
1,40.04
1,40.06
1,40.28
1,40.02
1,40.25
1,40.39
1,40.11
1,39.85
1,40.2
1,40.22
1,39.72
1,39.47
1,39.99
1,40.32
1,39.81
1,39.94
1,39.84
1,40.15
1,40.43
1,40.59
1,40.12
1,40.12
1,40.15
1,39.58
1,39.57
1,40.39
1,39.89
1,40.26
1,40.23
1,39.72
1,40.13
1,40.24
1,39.78
1,40.22
1,39.86
1,39.93
1,39.93
1,40.48
1,40.39
1,39.89
1,39.42
1,40.01
1,40.01
1,40.26
1,40.27
1,39.82
1,39.89
1,40.19
1,40.17
1,40.27
1,40.51
1,39.56
1,39.98
1,39.96
1,40.39
1,39.71
1,39.69
1,39.76
1,40.03
1,40.18
1,39.73
1,40.05
1,40.22
1,39.73
1,39.83
1,39.73
1,39.64
1,39.43
1,40.02
1,39.77
1,40.28
1,40.17
1,39.81
1,39.82
5,39.34
5,39.92
5,40.49
5,40.12
5,39.91
5,40.44
5,40.02
5,39.65
5,40.28
5,40.23
5,40.2
5,39.9
5,39.62
5,39.83
5,40.11
5,39.64
5,40.18
5,40.15
5,39.72
5,40.14
5,40.18
5,39.98
5,40.03
5,40.1
5,40.02
5,39.81
5,39.84
5,40.43
5,40.66
5,40.26
5,40.13
5,39.55
5,39.91
5,40.09
5,40.14
5,40.06
5,39.74
5,40.23
5,40.09
5,40.07
5,39.74
5,40.11
5,39.92
5,40.02
5,40.32
5,39.7
5,39.99
5,40.19
5,39.76
5,40.01
5,39.94
5,40.06
5,39.87
5,39.81
5,40.1
5,39.83
5,39.74
5,39.98
5,40.34
5,39.43
5,39.89
5,39.86
5,40.16
5,40.31
5,39.72
5,39.9
5,40.13
5,40.05
5,40.27
5,40.02
5,40.28
5,40.42
5,39.84
5,39.66
5,40.11
5,39.95
5,39.86
5,40.02
5,40.26
5,40.29
5,40.1
5,40.12
5,39.79
5,40.36
5,40.11
5,40.16
5,40.18
5,39.59
5,39.84
5,40.48
5,39.77
5,40.48
5,40.04
5,39.84
5,39.83
5,39.72
5,40.01
5,40.17
5,39.55
5,39.55
5,39.86
5,40.08
5,39.39
5,39.79
5,40.1
5,39.8
5,39.86
5,39.76
5,39.68
5,39.83
5,39.99
5,39.79
5,40.17
5,39.76
5,40.25
5,39.58
5,40.06
5,39.95
5,39.89
5,40.3
5,40.21
5,39.92
5,39.91
5,40.04
5,39.97
5,40.07
5,40.19
5,39.49
5,39.87
5,40.04
5,39.96
5,39.64
5,40.2
5,40.08
5,39.93
5,39.96
5,40.05
5,39.75
5,40.16
5,40.07
5,40.04
5,39.95
5,39.91
5,39.78
5,40.03
5,39.72
5,40.33
5,40.3
5,39.86
5,39.81
5,39.82
5,39.95
5,40.06
5,39.73
5,40.37
5,39.73
5,40.18
5,39.86
5,39.9
5,39.61
5,40.03
5,40.1
5,39.78
5,40.28
5,40.12
5,40.29
5,39.71
5,39.64
5,39.64
5,40.25
5,40.19
5,40.17
5,40.17
5,40.13
5,39.96
5,39.86
5,39.92
5,39.82
5,40.1
5,40.22
5,40.16
5,40.21
5,40.32
5,40.06
5,40.12
5,40
5,40.11
5,39.82
5,40.2
5,40.19
5,40.2
5,40.13
5,39.73
