latency,hashrate, shares
1,20, 19.81
1,20, 20.3
1,10, 10.09
1,10, 10.1
1,10, 9.922
1,5, 4.928
1,5, 5.081
1,5, 4.894
1,5, 4.991
1,5, 4.949
1,5, 4.947
1,20, 20.07
1,20, 20.25
1,10, 9.937
1,10, 9.814
1,10, 9.977
1,5, 5.003
1,5, 4.874
1,5, 4.925
1,5, 5.047
1,5, 4.98
1,5, 5.129
1,20, 20.23
1,20, 19.89
1,10, 10.06
1,10, 10.05
1,10, 9.889
1,5, 4.905
1,5, 5.035
1,5, 4.833
1,5, 5.114
1,5, 4.949
1,5, 5.054
1,20, 20.07
1,20, 20.02
1,10, 9.885
1,10, 10.05
1,10, 10.06
1,5, 4.896
1,5, 5.026
1,5, 5.035
1,5, 4.938
1,5, 4.824
1,5, 5.202
1,20, 19.89
1,20, 20.17
1,10, 10.16
1,10, 10.08
1,10, 9.826
1,5, 5.001
1,5, 4.966
1,5, 4.915
1,5, 4.968
1,5, 4.922
1,5, 5.098
1,20, 19.87
1,20, 19.98
1,10, 10.11
1,10, 9.703
1,10, 10.07
1,5, 4.911
1,5, 4.858
1,5, 5.14
1,5, 5.254
1,5, 5.013
1,5, 5.092
1,20, 20.14
1,20, 20.1
1,10, 10.17
1,10, 9.943
1,10, 10.09
1,5, 4.947
1,5, 5.056
1,5, 4.736
1,5, 4.822
1,5, 5.084
1,5, 4.915
1,20, 20.21
1,20, 19.69
1,10, 10.02
1,10, 10.03
1,10, 9.932
1,5, 5.008
1,5, 5.015
1,5, 4.927
1,5, 5.012
1,5, 5.047
1,5, 5.107
1,20, 19.91
1,20, 20.31
1,10, 10.07
1,10, 10.02
1,10, 9.787
1,5, 5.002
1,5, 5.051
1,5, 5.002
1,5, 5.021
1,5, 4.847
1,5, 4.975
1,20, 19.76
1,20, 20.06
1,10, 9.893
1,10, 10.05
1,10, 9.766
1,5, 5.008
1,5, 5.17
1,5, 5.031
1,5, 5.131
1,5, 5.052
1,5, 5.073
1,20, 20.05
1,20, 19.97
1,10, 9.947
1,10, 9.868
1,10, 10.09
1,5, 4.927
1,5, 4.876
1,5, 5.022
1,5, 4.985
1,5, 5.078
1,5, 5.18
1,20, 19.89
1,20, 20.13
1,10, 9.977
1,10, 9.94
1,10, 10.06
1,5, 4.835
1,5, 4.916
1,5, 5.076
1,5, 5.093
1,5, 5.062
1,5, 5.014
1,20, 20.04
1,20, 19.98
1,10, 10.16
1,10, 9.911
1,10, 10.12
1,5, 5.033
1,5, 5.017
1,5, 4.855
1,5, 4.922
1,5, 4.945
1,5, 5.019
1,20, 20.05
1,20, 20.02
1,10, 10.09
1,10, 9.895
1,10, 9.942
1,5, 4.914
1,5, 5.016
1,5, 4.858
1,5, 5.157
1,5, 5.014
1,5, 5.048
1,20, 20.14
1,20, 20.21
1,10, 10.1
1,10, 9.926
1,10, 9.994
1,5, 5.035
1,5, 5.044
1,5, 4.778
1,5, 4.88
1,5, 4.972
1,5, 4.914
1,20, 19.95
1,20, 19.89
1,10, 10.17
1,10, 9.94
1,10, 9.905
1,5, 4.983
1,5, 4.999
1,5, 4.927
1,5, 5.171
1,5, 4.99
1,5, 5.087
1,20, 20.09
1,20, 20.19
1,10, 9.851
1,10, 9.967
1,10, 10.11
1,5, 4.907
1,5, 5.053
1,5, 4.824
1,5, 5.15
1,5, 4.891
1,5, 4.97
1,20, 20.18
1,20, 20.25
1,10, 10.05
1,10, 10.08
1,10, 10
1,5, 4.888
1,5, 4.944
1,5, 4.891
1,5, 4.777
1,5, 4.958
1,5, 4.988
1,20, 19.88
1,20, 20.24
1,10, 10.12
1,10, 10.1
1,10, 9.831
1,5, 4.905
1,5, 4.963
1,5, 5.128
1,5, 4.907
1,5, 4.879
1,5, 5.051
1,20, 19.99
1,20, 19.41
1,10, 10.06
1,10, 9.852
1,10, 10.31
1,5, 5.07
1,5, 4.984
1,5, 4.949
1,5, 5.204
1,5, 5.142
1,5, 5.03
1,20, 20.11
1,20, 19.78
1,10, 9.911
1,10, 10.22
